ENSG,GM18486,GM18498,GM18499,GM18501,GM18502,GM18504,GM18505,GM18507,GM18508,GM18510,GM18511,GM18516,GM18517,GM18519,GM18520,GM18522,GM18523,GM18852,GM18855,GM18858,GM18861,GM18862,GM18870,GM18871,GM18907,GM18909,GM18912,GM18913,GM18916,GM19092,GM19093,GM19098,GM19099,GM19101,GM19102,GM19108,GM19114,GM19116,GM19119,GM19127,GM19128,GM19130,GM19131,GM19137,GM19138,GM19140,GM19143,GM19144,GM19147,GM19152,GM19153,GM19160,GM19172,GM19192,GM19193,GM19200,GM19203,GM19204,GM19207,GM19209,GM19222,GM19257,txStart,txEnd,chr
ENSG00000003509,0.266437341,-0.008686451,-0.006888979,0.015516301,0.266655768,0.179402069,0.186064828,0.204877218,0.898680345,0.269310107,0.6533382,-0.080946639,0.291726411,0.560822368,-0.618863888,0.202583987,0.234269471,0.568288807,0.222497346,0.026048186,0.606256226,0.321997825,0.824450882,-2.750848936,0.528437394,0.610717183,0.444437818,0.732328529,0.927484692,0.344456755,0.853007616,0.640308102,0.70318546,0.727960866,0.650018229,0.63396368,0.468708956,0.691298867,0.560590074,0.898720581,0.928156765,0.357783383,0.445231345,0.747438044,0.26217637,-0.51422359,0.679226934,-0.146946783,0.730098426,0.864150097,0.827533495,0.665203961,0.079236245,0.675854385,0.458443877,0.873517921,0.814258161,0.489020219,0.756975123,0.780985678,0.617537057,0.836752485,37312277,37329805,chr2
ENSG00000003756,NA,0.135854479,0.318592451,-0.010004929,0.358499183,0.116960899,-0.356071867,0.095067098,-0.108053245,-0.237620973,NA,0.135309371,NA,0.184824358,0.340554762,-0.380469953,-0.024808969,0.100377612,0.322247721,-0.002568504,-0.028715894,-0.120960045,-0.259924328,-1.083224651,0.010126559,-0.000795132,NA,NA,-0.472804798,-0.804365545,-0.150256869,NA,-0.33607847,-0.323612934,NA,-0.18346673,0.126304166,NA,-0.589019986,-0.300868369,-0.704128935,0.209789758,NA,-0.533200601,0.06357757,0.222024785,NA,NA,-0.213128009,NA,-0.267312955,-0.051063644,0.279941295,NA,NA,-0.284638344,NA,0.215366659,-0.404853917,NA,-0.366439753,NA,50101371,50131392,chr3
ENSG00000004059,-0.183933919,0.573835089,-0.223916679,-0.215248144,-0.080455182,-0.058063731,0.092030418,0.149647023,-0.005117265,-0.019094988,-0.059540295,0.079757021,0.258791711,0.290915058,0.106279397,0.197612962,-0.000719369,0.096865327,-0.321466644,0.155787426,-0.021882184,0.13882253,0.090730942,0.292866599,-0.141711061,-0.220017917,-0.116235902,0.016870039,0.158408672,-0.181329515,-0.109633154,-0.217421688,-0.73809529,0.224719996,0.274865299,0.259424535,-0.224800634,-0.023193278,-0.048075541,0.039671871,-0.134986225,-0.130815627,-0.003072315,0.131036504,-0.11737808,-0.418937925,0.245712794,-0.214177883,0.048338151,-0.080969353,-0.047269965,-0.303433939,0.174240775,0.02438385,-0.274819108,-0.290303124,-0.027160769,0.217065399,0.012785703,0.148460523,0.018218342,-0.039005215,127015694,127018989,chr7
ENSG00000004139,-0.503950449,-0.737105286,-0.585449979,-0.018538069,-0.360256552,0.157647039,-0.031516532,-0.129791412,NA,NA,-0.6135295,-0.640389499,-0.450042549,0.003884688,-0.215660313,-0.406260003,-0.244544229,-0.739357683,-1.100821479,-6.402093344,-0.300478344,-0.279932325,-0.635305748,-1.374500341,-0.870619956,-0.431861787,-0.558840832,-0.393309801,0.370709462,NA,-0.149956429,-0.123799398,-0.1622315,-0.315400494,0.736397369,-0.61378215,0.175362206,-0.518743503,-0.578536606,-0.433579599,0.455756395,-0.768394217,-0.62884724,-0.373814076,-0.324610815,-3.607766095,0.689157719,-5.513985083,-0.388953874,-0.021937783,-0.181486555,-0.599121179,-0.430652295,-0.32423522,-0.136809923,-0.907208894,-0.880637484,-0.136460146,-0.367672907,-0.036094372,-3.428867488,-0.541452985,23723113,23752173,chr17
ENSG00000004142,0.276025106,0.335698199,0.355180061,0.110694496,0.395065183,0.288050569,0.253808358,0.156055488,0.08775449,0.028990277,0.0658948,0.032309071,0.415366881,0.330809603,0.159942667,0.010926287,0.030593556,0.155275092,0.098671731,-0.067279344,0.314898376,-0.076799795,0.061045497,0.619310549,-0.165333606,0.099086363,0.008346068,0.163886759,-0.027858968,0.192006365,0.120127346,-0.257125248,0.010563145,0.042293056,-0.033775236,-0.01087402,0.056378076,0.355555922,-0.044002731,0.050273971,-0.142855715,0.510580898,0.20851152,-0.155112156,-0.07271022,0.670082695,0.099835324,0.299362377,-0.187143884,-0.041647843,-0.225259595,0.241111496,0.179265715,-0.16495368,-0.121355253,0.038539756,-0.007492124,0.160208689,-0.149153927,-0.092941282,-0.067986113,0.180793035,23697785,23708600,chr17
ENSG00000004455,0.360952791,-0.126746791,0.399919831,0.434375481,0.216942778,0.342144734,0.293051133,0.050564618,0.666518985,0.520160712,0.47732313,-0.220900509,0.239710446,0.279796238,-0.100742143,0.294499577,0.559793861,0.576513447,0.317990821,0.091701186,0.372444176,0.468303695,0.641520552,-0.210218151,0.610819844,0.493654018,0.504971573,0.587329299,0.833784902,0.635058885,0.668414541,0.502649022,0.35799087,0.184722016,0.449207969,0.1952283,0.798960831,0.617117182,0.194593384,0.552271991,0.462748585,0.286048063,0.368695415,0.600672604,0.4624576,-0.07874059,0.440825829,0.225273502,0.545602801,0.482256927,0.721810885,0.583743066,0.52513282,0.435548345,0.400021707,0.647769081,0.596255381,0.359769019,0.704333843,0.308075918,0.285664222,0.4187595,33246172,33275079,chr1
ENSG00000004468,-0.956845259,0.846347674,-0.747333114,-0.165404929,-3.138973192,NA,-2.441165337,-0.664919612,-0.699498415,-0.878434798,-1.00879413,0.531718941,-1.431150999,-3.579942722,0.927564312,NA,-1.036981319,0.138662157,-0.670973527,0.372421116,0.087210886,-0.517059495,-0.706846528,1.619407264,0.541750039,0.122340448,-1.236859312,-1.285580941,-0.875232238,0.096486645,-0.607284779,0.205972322,-1.37844817,0.671266056,NA,0.89338758,-1.683395309,-0.921564068,-1.050714246,0.201343161,NA,0.169460538,-0.42659409,-0.210464096,-0.96813603,-0.868507595,NA,1.993344572,1.814402506,0.294907997,-0.676626525,-0.244873804,-1.297582165,0.02389928,-1.852188913,-1.509687289,-1.562953599,-0.310483331,0.458213798,-1.310097667,0.246614467,-0.279486695,15389028,15459806,chr4
ENSG00000004478,0.619597326,-0.153187586,0.689477441,-0.090453579,0.762547498,0.346466504,0.123616793,-0.002104632,0.30598301,0.166372847,0.11134166,-0.252558104,-0.068598294,0.408561368,-0.534264538,0.431621697,0.232100776,0.079468237,0.355070241,-0.174891994,0.209610196,0.41429547,0.311503442,-0.709826576,-0.167657596,0.187627068,0.154159948,0.183526369,0.322149242,0.346964125,0.035002921,0.422201802,0.282004515,-0.104163054,0.269084654,-0.33696388,0.677529286,0.307625207,0.036929864,0.143731256,0.501090295,0.270542658,-0.166951995,0.157118794,0.23793224,0.27186891,0.221086109,-0.355557093,-0.209841254,-0.052914443,0.41855046,0.437174206,-0.456049525,0.28940962,0.537500637,0.414650896,0.543713296,-0.117193821,0.263160173,0.261192613,-0.043599033,0.028729655,2774413,2783381,chr12
ENSG00000004487,0.215406891,-0.021591401,0.273078871,0.009616291,0.133059298,0.256701799,0.416744533,0.164973773,0.029461075,0.017531157,0.18159547,0.300570691,-0.110381669,0.211038323,-0.240773668,0.074015447,0.030149711,0.376170247,0.009085341,0.145614931,0.350100276,-0.067018065,0.177784727,-1.136518821,0.215702114,0.245500753,0.045101958,-0.079610321,0.155745682,0.033210055,0.047694381,0.160764412,0.185739215,-0.030448414,-0.006171661,-0.0408998,0.262001176,0.103260947,0.090586294,0.142423611,0.330763855,0.172832053,0.084671165,0.189420559,0.139943545,0.148047845,-0.135640636,-0.066831158,0.206272996,0.047421287,0.28258286,0.176978906,0.16213559,0.147124345,0.276760192,-0.013497924,0.241129376,0.174621959,0.269496903,0.109578618,0.148620407,-0.011844265,23218532,23282771,chr1
ENSG00000004534,0.200679891,0.077715489,-0.041954069,-0.140733239,0.182559838,-0.018856221,-0.300991352,-0.177387047,-0.415693495,0.161718032,-0.34827682,0.277842556,0.070519326,0.015361478,0.280160492,-0.152234163,-0.204320259,NA,-0.501153057,0.095963701,0.091890576,-0.260394505,-0.136457058,-0.735105731,NA,0.249412173,-0.094627087,-0.187715991,-0.328563988,NA,NA,-0.358393648,0.378165835,NA,NA,-0.24622522,-0.282196774,-0.380439118,-0.484594706,-0.161423109,-0.332747365,NA,NA,-0.085126696,NA,0.273614255,NA,0.223981257,-0.019359744,0.002014197,-0.324453475,0.019158836,0.447105485,NA,-0.276896263,NA,NA,-0.466804191,-0.588415277,0.071151228,0.367301427,-0.133931415,49952480,50089685,chr3
ENSG00000004700,0.175892891,0.022508829,0.126878111,-0.082883069,0.135296418,0.351912639,-0.048075502,0.096964728,0.078235555,0.203713467,-0.1450654,0.011870371,0.110958421,0.099982698,0.098057252,0.072543427,-0.051304969,0.167465977,0.303101511,0.097524061,0.077112756,0.212398435,-0.083080438,-0.041143986,0.190950629,-0.001448527,0.099568028,0.202540199,0.172687752,0.084225775,-0.104776169,-0.181102738,0.06299475,-0.977045869,0.061976049,0.07838211,0.118203676,0.108865522,0.233644224,-0.020539799,0.221003585,0.038297933,0.109322895,0.149086774,0.10932136,-0.02226261,0.034836424,0.184363517,0.122544441,0.065864507,-0.218472295,-0.055583444,0.263583695,0.18145855,0.536658527,0.086698871,0.146860536,0.127065989,0.023100373,-0.166092372,0.053491777,0.145312295,21513982,21548782,chr12
ENSG00000004766,-0.041288519,0.439571359,0.040349701,0.083731491,0.183520423,0.212859429,-0.038022297,0.155647533,0.051108785,-0.208776763,-0.02238891,0.487335261,0.055706686,0.282325578,0.378618757,0.305703882,0.230869011,-0.560264953,0.125776483,0.249141606,-0.225962714,0.05832168,-0.591755508,-0.295898801,0.143233304,0.086697553,0.193186223,0.186432319,0.323936142,0.043394175,0.155650761,0.043178222,0.13416326,0.307976076,0.342215829,0.35288144,0.169154571,-0.134339408,-0.062794906,0.225370771,0.149585155,-0.583983622,0.096928725,0.015166844,0.05374707,-0.259101925,0.430946854,-0.082887713,-0.138744774,-0.134616013,-0.138287155,-0.048463274,0.155291915,0.235141865,-0.041444018,0.103972356,0.190418306,-0.005262741,0.014439113,NA,-0.152464618,-0.227388575,92699588,92826273,chr7
ENSG00000004779,0.113172281,0.444170119,0.093745571,0.126262821,0.184942878,0.244095374,0.165069638,-0.088367432,0.32718045,0.182757392,0.39786251,-0.000301819,0.316191921,0.361309438,0.102385437,-0.193593943,0.130485731,NA,0.096260411,0.243717406,0.369424976,0.168063505,0.371735682,1.278063769,0.097656844,0.224982103,0.098948363,0.359424129,0.254861222,0.340423355,0.123567471,0.150203282,0.11043891,0.284405436,0.292942669,0.3691767,0.122332696,0.359144412,0.071062554,-0.123675589,0.17752577,0.485308653,0.184119995,0.128919904,-0.269056604,-0.581456975,0.429358169,0.378359717,0.218465746,0.106416017,0.238345945,0.314365026,0.197192115,0.118439955,0.016426987,0.363436856,0.378613031,0.025291934,0.269166283,0.001195838,0.303252842,0.21769004,23499837,23515140,chr16
ENSG00000004864,-0.802934564,-0.354700691,-0.959671429,0.024113496,-0.942572272,-0.533648581,-0.524055082,0.190480488,-0.398490755,-0.566112083,-0.19912487,0.204980371,-0.495685849,-0.830453202,-0.480821493,0.560268837,-0.521405039,-0.877280973,-0.758037129,-0.068855024,0.210036061,-0.76874488,-0.406345683,-0.235286141,-0.156054801,-0.400562177,-0.593514882,-0.438732421,-0.498927703,-0.451225935,-0.250397204,-0.342131988,-0.227546,-0.308219694,-0.774390406,-0.246546855,-0.649347304,-0.374350108,-0.490510061,-0.311457529,-0.868411355,-0.554578412,-0.03692088,0.084301844,-0.5743379,-0.29859461,-0.797200601,-0.163986383,-0.470442534,-0.471158043,-0.415800135,-0.773434884,-1.221781435,-0.31721774,-0.142082558,-0.663467979,-1.136690164,-0.446252726,-0.456259397,-0.768719042,-0.448865173,-0.277769645,95587468,95789341,chr7
ENSG00000004897,0.350036721,0.076223424,0.530808481,-0.198202509,0.477832208,0.246839149,0.032822483,0.062214708,-0.406444195,-0.083965308,-0.148764,0.258892256,0.241753621,0.287354468,0.362564862,0.246482777,-0.098626329,-0.309306513,0.296897526,-0.016425714,-0.153176414,-0.261245225,-0.305779528,-0.809760671,-0.105317426,-0.197575407,-0.022395577,-0.167412581,-0.047120868,-0.15856448,-0.274771229,0.038513902,-0.19484013,-0.474006429,-0.541192481,-0.23375609,-0.052797944,-0.165970688,-0.279215996,-0.322273369,-0.668856815,0.045404203,-0.018981085,-0.279578136,0.02224703,0.63005488,-0.637155056,-0.053569653,-0.274219384,-0.308331983,-0.380625855,-0.245700214,0.256450325,-0.47186974,-0.358604853,-0.035446784,-0.027135184,-0.043147551,-0.654982642,0.159646578,-0.263712913,-0.415367325,42552624,42621664,chr17
ENSG00000005007,0.150145316,0.040848654,0.200482361,-0.058359579,0.199981823,0.045296104,-0.071409212,-0.067121832,-0.065240755,0.056358647,-0.068240445,0.082165571,-0.149570209,0.239747838,-0.037410373,-0.027297713,-0.140125019,-0.148515293,0.102370276,-0.038399204,-0.061142074,-0.042477705,-0.183445178,-0.554078086,-0.090635046,-0.054016597,-0.142451077,-0.113149661,-0.123493713,-0.149319575,-0.247494189,-0.143654438,-0.087633555,-0.116259639,-0.184155996,-0.091399585,-0.059717909,-0.101516063,-0.056285326,-0.127736259,-0.031642395,0.005954113,-0.15053421,-0.075352066,-0.06997913,0.433910215,-0.244712566,-0.241676583,-0.096336229,-0.109145913,-0.069861425,0.075840826,0.008172515,0.06294331,-0.162848483,-0.039745354,0.024889736,0.105483839,-0.123289907,0.140912943,-0.009819373,-0.20307979,18803743,18840038,chr19
ENSG00000005075,-0.162345699,-0.067964781,-0.044837629,NA,0.185543848,0.003904499,0.079553598,-0.039143722,-0.441669045,-0.317083543,-0.373504405,0.114348981,-0.256502054,NA,-0.109505603,-0.352644838,-0.386782309,-0.274468933,0.202321836,-0.161577484,-0.161797274,-0.59347035,-0.291306273,NA,-0.102480576,-0.479692532,-0.518583422,-0.381444321,NA,-0.399360085,-0.432494829,-0.421102863,-0.44351271,-0.634777454,-0.493846021,-0.18676405,-0.340414829,0.157882992,-0.692387481,-0.269271029,-0.421135425,-0.101285002,0.107167755,-0.343336226,-0.28205117,0.21350376,NA,0.050536497,-0.075043559,NA,NA,-0.224397044,-0.09446493,-0.53115926,-0.350528893,-0.563794609,NA,-0.061353451,-0.264677707,-0.360653262,-0.483459073,-0.377420335,101900554,101906715,chr7
ENSG00000005100,0.241632841,-0.162140631,0.899518681,-0.160663599,0.471693823,0.620113189,-0.101738992,-0.292116557,0.152661475,0.040794877,-0.15732621,-0.075500459,0.169329316,0.562859328,NA,-0.045125963,-0.282194149,-0.026544573,0.542377791,-0.665935484,0.113824516,0.02631442,-0.076255418,NA,-0.152212881,NA,-0.150020452,-0.047728806,NA,0.062869165,-0.321196974,NA,-0.07216301,-0.127465114,-0.320503096,NA,-0.062160109,0.018033852,0.223760324,NA,-0.00357487,NA,-0.020025005,-0.090798696,-0.342939089,1.135708385,NA,0.198129397,NA,-0.050480043,-0.430893425,NA,-0.156491955,NA,-0.159886013,NA,NA,0.061852419,-0.566178397,-0.047206852,-0.148200563,NA,5286319,5312905,chr17
ENSG00000005156,0.011144576,-0.176614991,-0.036192844,-0.057919314,-0.074492412,0.165678249,-0.043084502,-0.052951472,0.085743575,0.114787102,-0.28899149,-0.149982319,-0.073342959,-0.130823522,-0.386693688,0.172734997,-0.189486699,0.011491852,-0.078686409,-0.101552239,-0.248900179,-0.058860205,-0.157297728,-0.558810596,0.113190174,0.067416683,-0.347213097,-0.168067201,0.149745182,-0.080898135,0.045090841,-0.073371728,0.09017908,-0.157083969,-0.340182871,-0.19467216,-0.188018984,0.052631262,0.087981094,0.190521201,0.19585293,-0.148041417,-0.01613097,0.146450714,-0.450532955,-0.1020053,-0.226255196,-0.263244273,0.051467761,NA,-0.18287821,-0.023782359,-0.18332435,-0.109753665,0.044182917,-0.033429884,0.252222591,-0.059816826,-0.328130182,-0.249960852,0.272681147,-0.269447155,30331650,30356201,chr17
ENSG00000005175,0.231157261,-0.025991541,0.290348071,-0.091325439,0.385403918,0.137747309,0.118293873,0.070485708,0.213288605,0.013381707,-0.108146635,0.206447426,0.203689391,0.310515328,0.133564977,0.181577177,-0.122197719,-0.093600238,0.354322646,0.157921756,-0.051176614,0.082607405,-0.196919628,-1.193436681,0.103155714,0.026976193,0.024520388,-0.104648851,0.102013617,-0.00922936,-0.046988629,0.012847012,-0.00769718,-0.209591814,-0.154870051,0.00014293,0.006234066,-0.158774178,0.101055784,0.024593291,0.09083255,0.057280653,-0.070880045,-0.014749741,0.2825862,0.287346065,-0.267826796,-0.303276723,-0.020365519,0.027401167,0.03670129,-0.300554394,0.28991353,-0.0337568,0.268271707,0.170599526,0.075324191,-0.067798651,-0.066465197,0.366295238,-0.005553463,-0.09013856,46343343,46386041,chr12
ENSG00000005187,-1.520818339,-1.092401486,-1.832211299,0.510464851,NA,NA,NA,1.062471908,NA,-1.130170673,-0.02138402,0.336755886,-0.532511609,-1.917182782,-1.010423353,0.275649707,-0.878901474,NA,-1.434435459,NA,0.397918836,NA,0.155208327,NA,NA,NA,NA,-0.507425291,NA,-1.117549975,-1.447358164,-0.085943178,-0.39147123,-0.339737909,NA,-0.22007466,-0.836789694,-0.540335013,-0.339964156,-0.240603814,-1.490685305,0.058249323,NA,0.327040289,NA,-0.595064835,NA,0.048129787,-0.080631924,-0.538477248,NA,0.471554416,NA,0.16081105,NA,NA,-0.971015089,-2.118807171,0.285147998,NA,-0.254630618,0.494757125,20682812,20715979,chr16
ENSG00000005194,0.058325841,-0.573519501,0.397152831,-0.365277089,0.294215048,0.345985389,0.172762698,0.035332763,-0.354915985,-0.547812923,-0.33270682,0.043456766,0.076264131,-0.060148972,0.068106292,-0.447891503,-0.199831139,0.041337612,0.106219516,-0.094443614,-0.109413194,-0.224078675,-0.492094468,-1.422049896,-0.180660811,-0.064088152,-0.060311937,-0.392636341,-0.410542208,-0.056382725,-0.060834459,-0.335529003,-0.10865724,-0.375722774,-0.252991931,-0.285324255,0.063012306,-0.072533023,-0.171332421,-0.309050029,-0.221043555,-0.015490182,-0.047031925,-0.197465386,-0.294870975,0.070808025,-0.150290706,-0.087366053,-0.359721004,-0.501966983,-0.351704935,-0.332010004,0.05432129,-0.371529505,0.114460717,0.023145106,-0.188332554,0.075302589,-0.306667037,-0.011645637,-0.427727953,-0.333434055,56019586,56038870,chr16
