Gene	Length
ABCB10	738
ABCB11	1321
ABCC8	1581
ABCC9	1549
ABCC11	1382
ABCC13	274
ABCD1	745
ABCD2	740
ABCD3	659
ABCD4	606
ABCE1	599
ABCF1	845
ABCF2	623
ABCF3	709
ABCG1	678
ABCG2	655
ABCG4	646
ABCG5	651
ABCG8	673
ABHD12	398
APOBEC1	236
APOBEC2	224
APOBEC4	367
ABHD15	468
ABHD1	405
ABHD2	425
ABHD3	409
ABHD4	342
ABHD5	349
ABHD6	337
ABHD8	439
ABHD10	306
ABHD11	315
ABHD13	337
ABHD14A	271
ABHD14B	210
ABHD16A	558
ABHD16B	469
ABI1	508
ABI2	513
ABI3	366
ABL1	1130
ABL2	1182
ABLIM1	778
ABLIM2	611
ABLIM3	683
ABRACL	81
ABRA	381
ABR	859
ABT1	272
ABTB1	478
ABTB2	1025
ACACA	2346
ACACB	2458
ACAD8	415
ACAD9	621
ACADL	430
ACADM	421
ACADS	412
ACADVL	655
ACAP1	740
ACAP2	778
ACAP3	834
SLC33A1	549
ACBD4	268
ACBD5	534
ACBD6	282
ACBD7	88
ACSBG1	724
ACSBG2	666
DBI	87
ACAD10	1059
ACAD11	780
ACADSB	432
ACD	544
ACE2	805
ACER1	264
ACER2	275
ACER3	267
ACHE	614
ACE	1306
CHRNA10	450
CHRNA2	529
CHRNA3	505
CHRNA4	627
CHRNA5	468
CHRNA6	494
CHRNA7	502
CHRNA9	479
CHRNA1	482
CHRNB2	502
CHRNB3	458
CHRNB4	498
CHRNB1	501
CHRND	517
CHRNE	493
CHRNG	517
ACIN1	1341
TNK2	1038
ACKR1	336
ACKR2	384
ACKR3	362
ACKR4	350
ACTL10	245
ACTL6A	429
ACTL6B	426
ACTL7A	435
ACTL7B	415
ACLY	1101
CHRM1	460
CHRM2	466
CHRM3	590
CHRM4	479
CHRM5	532
ACMSD	336
ACOT11	607
ACOT12	555
ACOT13	140
THEM5	247
ACO1	889
SCD	359
ACO2	780
ACOT1	421
ACOT2	483
ACOT4	421
ACOT6	207
ACOT8	319
ACOT9	439
ACOX1	660
ACOX2	681
ACOX3	700
ACOXL	547
APEH	732
NDUFAB1	156
ACRBP	543
ACRC	691
ACR	421
ACSM2A	577
ACSM2B	577
ACSS1	689
ACSS2	701
ACSF2	615
ACSF3	576
AASDH	1098
ACSL1	698
ACSL3	720
ACSL4	711
ACSL5	683
ACSL6	697
ACSM1	577
ACSM3	586
ACSM4	580
ACSM5	579
ACSM6	480
ACSS3	686
ACTA2	377
ACTBL2	376
POTEKP	375
ACTB	375
ACTC1	377
ACTG1	375
MC2R	297
ACTG2	376
ACTL8	366
ACTL9	416
ACTN1	892
ACTN2	894
ACTN3	901
ACTN4	911
ACTA1	377
ACTRT1	376
ACTRT2	377
ACTRT3	372
ACTR1B	376
ACTR1A	376
ACVR1B	505
ACVR1C	493
ACVRL1	503
ACVR1	509
ACY1	408
ASPA	313
ACY3	319
ACYP1	99
ACYP2	99
ADAM10	748
ADAM11	769
ADAM12	909
ADAM15	863
ADAM17	824
ADAM18	739
ADAM19	955
ADRA1A	466
ADRA1B	520
ADRA1D	572
ADAM20	726
ADAM21	722
ADAM22	906
ADAM23	832
ADAM28	775
ADAM29	820
ADRA2A	450
ADRA2B	447
ADRA2C	462
ADAM30	790
ADAM32	787
ADAM33	813
ADAD1	576
ADAD2	583
ADAL	355
ADAM2	735
ADAM5	412
ADAM7	754
ADAM8	824
ADAM9	819
ADAP1	374
ADAP2	381
ADARB2-AS1	147
AGPS	658
ADAT1	502
ADAT2	191
ADAT3	351
ADA	363
ADCK1	530
ADCK2	626
ADCK3	647
ADCK4	544
ADCK5	580
AADACL2	401
AADACL3	350
AADACL4	407
ADCY1	1119
ADCY2	1091
ADCY3	1144
ADCY4	1077
ADCY5	1261
ADCY6	1168
ADCY7	1080
ADCY8	1251
ADCY9	1353
ADCY10	1610
ADD1	737
ADD2	726
ADD3	706
ADAMDEC1	470
ADGB	1667
ADH1A	375
ADH1B	375
ADH1C	375
ADH4	380
ADH6	368
ADH7	386
ADH5	374
ADIG	80
FAM132A	302
ADIPOQ	244
SSX2IP	614
ADIRF	76
ADK	362
ADM2	148
ADM5	153
ADM	185
ADNP2	1131
ADNP	1102
ADPGK	497
AASDHPPT	309
ADPRH	357
ADPRM	342
ADIPOR1	375
ADIPOR2	386
ADRB1	477
ADRB2	413
ADRB3	408
ADRM1	407
FDXR	491
SCIN	715
SLC25A4	298
SLC25A5	298
SLC25A6	298
SLC25A31	315
ADTRP	230
FDX1L	183
FDX1	184
AEBP1	1158
ADO	270
AEBP2	517
MAMDC4	1216
AEN	325
AES	197
MLLT10	1068
MLLT6	1093
AFAP1L1	768
AFAP1L2	818
MLLT11	90
MLLT3	568
MLLT4	1824
AFM	599
AFAP1	730
AFF1	1210
AFF2	1311
AFF3	1226
AFF4	1163
AFG3L2	797
AFTPH	937
ALG10	473
ALG10B	473
ALG1L2	215
AGAP10	658
AGAP11	550
GLA	429
AGAP1	857
AGAP2	1192
AGAP3	875
AGAP4	663
AGAP5	686
AGAP6	663
AGAP7P	663
AGAP8	663
AGAP9	703
AGFG1	562
AGFG2	481
AGGF1	714
AGPAT4-IT1	198
AGK	422
PGM3	542
AGO1	857
AGO2	859
AGO3	860
AGO4	861
AGR2	175
AGR3	166
AGRN	2067
AGRP	132
AGXT2	514
AGTR1	359
AGTR2	363
AHDC1	1603
AHI1	1196
AHNAK2	5795
AHNAK	5890
AHRR	701
AHR	848
AHSA1	338
AHSA2	299
AHSP	102
AICDA	198
AIDA	306
AIF1L	150
AIF1	147
AIFM1	613
AIFM2	373
AIFM3	605
AIG1	245
AIM1L	616
AIM1	1723
AIM2	343
AIMP1	312
AIMP2	320
INA	499
AIPL1	384
AIP	330
AIRE	545
AJAP1	411
AJUBA	538
AKAP17A	695
AKR1A1	325
AKR1B10	316
AKR1B15	344
AKR1C1	323
AKR1C2	323
AKR1C3	323
AKR1C4	323
AKR1D1	326
AKAP10	662
AKAP11	1901
AKAP12	1782
AKAP14	197
AKAP7	104
AKAP7	348
AKAP1	903
AKAP2	859
AKAP3	853
AKAP4	854
AKAP5	427
AKAP6	2319
AKAP8	692
AKAP9	3911
AKR1CL1	129
AKR1E2	320
ANKDD1A	522
ANKDD1B	528
ANKIB1	1089
AKIP1	210
AURKAIP1	199
AKIRIN1	192
AKIRIN2	203
AKNA	1439
AKNAD1	836
AKAP13	2813
AKAP8L	646
AKT1	480
AKT2	481
AKT3	479
AKTIP	292
AKT1S1	256
ARL14EP	260
ALDH1A1	501
ALDH1A2	518
ALDH1A3	512
ALDH1B1	517
ALDH1L1	902
ALDH1L2	923
ALS2CL	953
ALS2CR11	623
ALS2CR12	445
ALDH3A1	453
ALDH3A2	485
ALDH3B1	468
ALDH3B2	385
ALDH4A1	563
ALOX5AP	161
ALDH7A1	539
ALDH8A1	487
ALDH9A1	494
GPT	496
GPT2	523
ALB	609
ALDH2	517
ALDOA	364
ALDOB	364
ALDOC	364
AKR1B1	316
GNAS	626
ALG11	492
ALG12	488
ALG13	1137
ALG14	216
ALG1L	187
ALG1	464
ALG2	416
ALG3	438
ALG5	324
ALG6	507
ALG8	526
ALG9	611
ALKBH1	389
ALKBH2	261
ALKBH3	286
ALKBH4	302
ALKBH5	394
ALKBH6	238
ALKBH7	221
ALKBH8	664
AGMO	445
ALK	1620
ALLC	410
ALMS1P	210
ALMS1	4167
ALPK1	1244
ALPK2	2170
ALPK3	1907
GFER	205
ALS2	1657
IGFALS	605
ALX1	326
ALX3	343
ALX4	411
AMACR	382
AMBN	447
AMBP	352
PAM	973
AMELX	191
AMELY	206
AMER1	1135
AMER2	671
AMER3	861
AMMECR1L	310
AMFR	643
AMIGO1	493
AMIGO2	522
AMIGO3	504
AMHR2	573
AMMECR1	333
AMN1	258
AMN	453
AMOTL1	956
AMOTL2	779
AMOT	1084
RNPEP	650
AMPD1	780
AMPD2	879
AMPD3	767
ENPEP	957
AMPH	695
LAP3	519
ANPEP	967
AOPEP	819
AQPEP	990
AMBRA1	1298
LRPAP1	357
AMTN	209
AMY1A	511
AMY2B	511
AMY2A	511
AMZ1	498
AMZ2	360
ANKRD13A	590
ANKRD13B	626
ANKRD13C	541
ANKRD13D	518
ANKRD18A	992
ANKRD18B	1011
ANKRD20A8P	823
ANKRD30A	1397
ANKRD30B	1392
ANP32A	249
ANP32B	251
ANP32C	234
ANP32D	131
ANP32E	268
ANKRD33B	494
ANKRD34A	496
ANKRD34B	514
ANKRD34C	535
ANKRD36	1941
ANKRD36B	1353
ANKRD36C	1778
NAGLU	743
ANAPC2	822
ZFYVE19	471
AR	919
NPPB	134
NPPC	126
ANKFY1	1169
NPPA	153
ANGEL1	670
ANGEL2	544
ANG	147
ANGPTL1	491
ANGPTL2	493
ANGPTL3	460
ANGPTL4	406
ANGPTL5	388
ANGPTL6	470
ANGPTL7	346
ANGPT1	498
ANGPT2	496
ANGPT4	503
AGT	485
ANHX	379
ANK1	1881
ANK2	3957
ANK3	4377
ANKAR	1434
ANKEF1	776
ANKFN1	763
ANKHD1	2542
ANKH	492
ANKK1	765
ANKLE1	615
ANKLE2	938
ANKRD1	319
ANKRD2	360
ANKRD6	727
ANKRD7	254
ANKRD9	317
ANKS3	656
ANKS6	871
ANKUB1	424
ANKMY1	941
ANKMY2	441
ANKZF1	726
ANLN	1124
PRMT1	361
PRMT2	433
PRMT3	531
PRMT5	637
PRMT6	375
PRMT7	692
PRMT8	394
PRMT9	845
ANO10	660
ANO1	986
ANO2	1003
ANO3	981
ANO4	955
ANO5	913
ANO6	910
ANO7	933
ANO8	1232
ANO9	782
NPR1	1061
NPR2	1047
NPR3	541
ANKRD10	420
ANKRD11	2663
ANKRD12	2062
ANKRD16	361
ANKRD17	2603
ANKRD19P	264
ANKRD22	191
ANKRD23	305
ANKRD24	1146
ANKRD26	1709
ANKRD27	1050
ANKRD28	1053
ANKRD29	301
ANKRD31	1873
ANKRD32	1058
ANKRD33	272
ANKRD35	1001
ANKRD37	158
ANKRD39	183
ANKRD40	368
ANKRD42	389
ANKRD44	993
ANKRD45	282
ANKRD46	232
ANKRD49	239
ANKRD50	1429
ANKRD52	1076
ANKRD53	530
ANKRD54	300
ANKRD55	614
ANKRD60	345
ANKRD61	418
ANKRD62	917
ANKRD63	380
ANKRD65	399
ANKRD66	251
ANKRA2	313
ANKS1A	1134
ANKS1B	1248
ANKS4B	417
SERPINC1	464
ANTXR1	564
ANTXR2	489
ANTXRL	631
ANXA10	324
ANXA11	505
ANXA13	316
ANXA1	346
ANXA2	339
ANXA3	323
ANXA4	319
ANXA5	320
ANXA6	673
ANXA7	488
ANXA8	327
ANXA9	345
AOAH	575
AOC1	751
AOC2	756
AOC3	763
MAOA	527
MAOB	520
AOX1	1338
SNAP91	907
AP1AR	302
AP1B1	949
AP1G1	822
AP1G2	785
AP1M1	423
AP1M2	423
AP1S1	158
AP1S2	157
AP1S3	154
AP2A1	977
AP2A2	939
TFAP2A	437
AP2B1	937
TFAP2B	460
TFAP2C	450
TFAP2D	452
TFAP2E	442
AP2M1	435
AP2S1	142
AP3B1	1094
AP3B2	1082
AP3D1	1153
AP3M1	418
AP3M2	418
AP3S1	193
AP3S2	193
ENTHD2	525
NUDT2	147
AP4B1	739
AP4E1	1137
AP4M1	453
AP4S1	144
AP5B1	878
AP5M1	490
AP5S1	200
AP5Z1	807
APAF1	1248
APBA1	837
APBA2	749
APBA3	575
APBB1	710
APBB2	758
APBB3	486
APPBP2	585
ANAPC10	185
ANAPC11	84
ANAPC13	74
ANAPC15	121
ANAPC16	110
ANAPC1	1944
APC2	2303
ANAPC4	808
ANAPC5	755
ANAPC7	599
APCDD1	514
APCDD1L	501
APC	2843
APLN	77
APEX1	318
APEX2	518
APH1A	265
APH1B	257
API5	524
APLNR	380
APOLD1	279
APLF	511
APLP1	650
APLP2	763
APMAP	416
APOA1	267
APOA2	100
APOA4	396
APOA5	366
LPA	4548
APOBR	1088
APOB	4563
APOC1	83
APOC2	101
APOC3	99
APOC4	127
APOD	189
APOE	317
APOF	326
APOH	345
APOL1	398
APOL2	337
APOL3	402
APOL4	351
APOL5	433
APOL6	343
APOM	188
APOO	198
APOPT1	206
APRG1	170
PRNP	73
ASPRV1	343
PMAIP1	54
APTX	356
APRT	180
AQP12A	295
AQP12B	295
AQP10	301
AQP11	271
AQP1	269
AQP2	271
AQP3	292
AQP4	323
AQP5	265
AQP6	282
AQP7P3	342
AQP7	342
AQP8	261
AQP9	295
AQR	1485
ARL13A	290
ARL13B	428
ANKRD26P1	321
ARL2BP	163
ARL6IP1	203
ARL6IP4	421
ARL6IP6	226
ARAF	606
ATRAID	229
ARAP1	1450
ARAP2	1704
ARAP3	1544
ARHGAP5-AS1	56
ADRBK1	689
ADRBK2	688
ARPC1A	370
ARPC1B	372
ZBTB8OS	167
ARC	396
AREG	252
AREL1	823
ARF1	181
ARF3	181
ARF4	180
ARF5	180
ARF6	175
ARFGAP1	406
ARFGAP2	521
ARFGAP3	516
ARFIP1	373
ARFIP2	341
ARFRP1	201
ARHGEF28	1705
ARHGEF33	844
ARHGEF35	484
ARHGEF39	335
ARHGEF10L	1279
ARGFX	315
ARG1	322
ARG2	354
ARGLU1	273
ARHGEF37	675
ARHGEF38	777
ARHGEF40	1519
ARHGEF1	912
ARHGEF2	986
ARHGEF3	526
ARHGEF4	690
ARHGEF5	1597
ARHGEF6	776
ARHGEF7	803
NET1	596
ARHGEF9	516
ARHGEF10	1369
ARHGEF11	1522
ARHGEF12	1544
ARHGEF15	841
ARHGEF16	709
ARHGEF17	2063
ARHGEF18	1173
ARHGEF19	802
ARHGEF25	580
ARHGEF26	871
ADPRHL1	354
ADPRHL2	363
LDLRAP1	308
ARID1A	2285
ARID1B	2236
ARIH1	557
ARIH2OS	290
ARIH2	493
ARID3A	593
ARID3B	561
ARID3C	412
ARID4A	1257
ARID4B	1312
ARID5A	594
ARID5B	1188
ARID2	1835
RAD54L2	1467
AKR7A2	359
AKR7A3	331
AKR7L	331
ARL10	244
ARL11	196
ARL14	192
ARL15	204
ARL16	197
ARL17A	177
ARL1	181
ARL2	184
ARL3	182
ARL4A	200
ARL4C	192
ARL4D	201
ARL5A	179
ARL5B	179
ARL5C	179
ARL6	186
ARL8A	186
ARL8B	186
ARL9	187
ASL	464
ARMC10	343
ARMC12	340
ARMC1	282
ARMC2	867
ARMC3	872
ARMC4	1044
ARMC5	935
ARMC6	501
ARMC7	198
ARMC8	673
ARMC9	817
ARMS2	107
ARMCX1	453
ARMCX2	632
ARMCX3	379
ARMCX5	558
ARMCX4	360
ARMCX6	300
ARNT2	717
ARNT	789
RPS19BP1	136
ACTR10	417
ARPP19	112
ARPP21	812
ACTR2	394
ACTR3B	418
ACTR3C	210
ACTR3	418
ARPC5L	153
ACTR5	607
ACTR6	396
ACTR8	624
ARPC2	300
ARPC3	178
ARPC4	168
ARPC5	151
ARPIN	226
ARRB1	418
ARRB2	409
ARR3	388
ARRDC1	433
ARRDC2	407
ARRDC3	414
ARRDC4	418
ARRDC5	342
SAG	405
ARSA	507
ARSB	533
ARSD	593
ARSE	589
ARSF	590
ARSG	525
ARSH	562
ARSI	569
ARSJ	599
ARSK	536
ARTN	220
ARV1	271
ARVCF	962
ARX	562
NAT1	290
NAT2	290
AS3MT	375
ASAH2B	165
ASAH2C	622
ASAH1	395
ASAH2	780
ASAP1	1129
ASAP2	1006
ASAP3	903
ASB16-AS1	193
ASB10	467
ASB11	323
ASB12	309
ASB13	278
ASB14	587
ASB15	588
ASB16	453
ASB17	295
ASB18	466
ASB1	335
ASB2	587
ASB3	518
ASB4	426
ASB5	329
ASB6	421
ASB7	318
ASB8	288
ASB9	294
ASCC1	400
ASCC2	757
ASCC3	2202
ASCL1	236
ASCL2	193
ASCL3	180
ASCL4	172
ASCL5	278
PYCARD	195
ASF1A	204
ASF1B	202
ASRGL1	308
ASGR1	291
ASGR2	311
ASH1L	2969
ASH2L	628
C2orf49	232
ASIC1	528
ASIC2	512
ASIC3	531
ASIC4	647
ASIC5	505
ASIP	132
SMPDL3A	453
SMPDL3B	455
ASMTL	621
ASMT	345
SMPD1	629
ASNA1	348
ASNSD1	643
ASNS	561
ASPSCR1	553
ASPDH	283
AGA	346
ASPHD1	390
ASPHD2	369
ASPH	758
ASPM	3477
ASPN	380
PPP1R13B	1090
TP53BP2	1128
ACRV1	265
ASS1	412
ASTE1	679
WDR83OS	106
ASTL	431
ASTN1	1302
ASTN2	1339
ASUN	706
ASXL1	1541
ASXL2	1435
ASXL3	2248
ASZ1	475
ATP10A	1499
ATP10B	1461
ATP10D	1426
ATP11A	1134
ATP11B	1177
ATP11C	1132
ATP12A	1039
ATP13A1	1204
ATP13A2	1180
ATP13A3	1226
ATP13A4	1196
ATP13A5	1218
ATP1A1	1023
ATP1A2	1020
ATP1A3	1013
ATP1A4	1029
ATP1B1	303
ATP1B2	290
ATP1B3	279
ATP1B4	357
ATP2A1	1001
ATP2A2	1042
ATP2B2	1243
ATP2A3	1043
ATP2B1	1258
ATP2B3	1220
ATP2B4	1241
ATP2C1	919
ATP2C2	946
ETNPPL	499
PHYKPL	450
ATP5EP2	51
ATP5F1	256
ATP5G1	136
ATP5G2	141
ATP5G3	142
ATP5SL	257
ATP5L2	100
ATXN7L1	861
ATXN7L2	722
ATXN7L3	347
ATP8A1	1164
ATP8A2	1148
ATP8B1	1251
ATP8B2	1209
ATP8B3	1300
ATP8B4	1192
ATXN8OS	200
ATAD1	361
ATAD2	1390
ATAD5	1844
ATP1A1-AS1	95
ATAT1	421
ATCAY	371
ATAD2B	1458
ATAD3A	634
ATAD3B	648
ATAD3C	411
ATE1	518
ATF1	271
ATF2	505
ATF3	181
ATF4	351
ATF5	282
ATF6	670
ATF6B	703
ATF7	494
ATG10	220
ATG12	140
ATG13	517
ATG2A	1938
ATG2B	2078
ATG3	314
ATG4A	398
ATG4B	393
ATG4C	458
ATG4D	474
ATG5	275
ATG7	703
ATG9A	839
ATG9B	924
ATG101	218
ATHL1	737
ATPIF1	106
ADAMTSL1	1762
ADAMTSL2	951
ADAMTSL3	1691
ADAMTSL4	1074
ADAMTSL5	481
ATL1	558
ATL2	583
ATL3	541
ATMIN	823
ATM	3056
ATN1	1190
FXYD2	66
ATOH1	354
ATOH7	152
ATOH8	321
ATOX1	68
XRCC6BP1	246
ATP4A	1035
ATP4B	291
ATP5E	51
ATP5H	161
ATP5I	69
ATP5J	108
ATP5L	103
ATP5S	215
MT-ATP6	226
ATP7A	1500
ATP7B	1465
MT-ATP8	68
ATP9A	1047
ATP9B	1147
ATP5A1	553
ATP5B	529
ATP5D	168
ATPAF1	328
ATPAF2	289
ATP5C1	298
ATP5J2	94
ATP5O	213
ATP11AUN	121
AGTRAP	159
ATRIP	791
ATRNL1	1379
ATRN	1429
ATRX	2492
ATR	2644
ADAMTS10	1103
ADAMTS12	1594
ADAMTS13	1427
ADAMTS14	1223
ADAMTS15	950
ADAMTS16	1224
ADAMTS17	1095
ADAMTS18	1221
ADAMTS19	1207
ADAMTS1	967
ADAMTS20	1910
ADAMTS2	1211
ADAMTS3	1205
ADAMTS4	837
ADAMTS5	930
ADAMTS6	1117
ADAMTS7	1686
ADAMTS8	889
ADAMTS9	1935
TAT	454
ATXN10	475
ATXN1L	689
ATXN1	815
ATXN2L	1075
ATXN2	1313
ATXN3L	355
ATXN3	364
ATXN7	892
ATXN8	80
AUH	339
C2orf40	148
AUNIP	357
AUP1	476
AURKA	403
AURKB	344
AURKC	309
AUTS2	1259
DNAJC6	913
AVEN	362
AVIL	819
AVL9	648
AVPI1	147
ACVR2A	513
ACVR2B	512
AWAT1	328
AWAT2	333
ANXA2R	193
ANXA2P2	339
ANXA8L1	327
ANXA8L2	327
AXDND1	1012
AXIN1	862
AXIN2	843
AZI2	392
AZIN1	448
AZIN2	460
BCL2L1	233
BCL2L2	193
BCL2L10	194
BCL2L11	198
BCL2L12	334
BCL2L13	485
BCL2L14	327
BCL2L15	163
BCL2A1	175
B2M	119
SLC4A2	1241
SLC4A3	1232
SLC4A9	983
B3GALT5-AS1	145
SLC4A1	911
B3GAT1	334
B3GAT2	323
B3GAT3	335
B3GALNT1	331
B3GALNT2	500
B3GALTL	498
B3GNT2	397
B3GNT3	372
B3GNT4	378
B3GNT5	378
B3GNT6	384
B3GNT7	401
B3GNT8	397
B3GNT9	402
B3GNTL1	361
B3GALT1	326
B3GALT2	422
B3GALT4	378
B3GALT5	310
B3GALT6	329
B3GNT1	415
B4GALNT1	533
B4GALNT2	566
B4GALNT3	998
B4GALNT4	1039
B4GALT1	398
B4GALT2	372
B4GALT3	393
B4GALT4	344
B4GALT5	388
B4GALT6	382
B4GALT7	327
B9D1	204
B9D2	175
BAALC	180
BAALC-AS2	105
BAAT	418
BABAM1	329
KCTD13	329
TNFAIP1	316
KCTD10	313
BACE1	501
BACE2	518
BACH1	736
BACH2	841
ACOT7L	252
ACOT7	380
BAD	168
BANF2	90
BANF1	89
BAG1	345
BAG2	211
BAG3	575
BAG4	457
BAG5	447
BAG6	1132
BAGE	43
BAGE2	109
BAGE3	109
BAGE4	39
BAGE5	43
BAHCC1	2608
BAHD1	780
BAI1	1584
BAI2	1585
BAI3	1522
BAIAP2	552
BAIAP3	1187
ATG14	492
BAK1	211
BAMBI	260
BANK1	785
BANP	519
BAP18	172
BAP1	729
BCAP29	241
BCAP31	246
BARD1	777
BARHL1	327
BARHL2	387
BARX1	254
BARX2	279
BSG	385
BASP1	227
SLC7A9	487
BATF2	274
BATF3	127
BATF	125
BAX	192
BAZ1A	1556
BAZ1B	1483
BAZ2A	1905
BAZ2B	2168
BBC3	261
BBC3	193
BBIP1	92
CCDC176	529
BBS10	723
BBS12	710
BBS1	593
BBS2	721
BBS4	519
BBS5	341
BBS7	715
BBX	941
BCL11A	835
BCL11B	894
BCAM	628
PIK3AP1	805
BCAR1	870
BCAR3	825
BCAS1	584
BCAS3	928
BCAS4	211
BCAT1	386
BCAT2	392
BCCIP	314
ZNHIT6	470
BCO1	547
BCO2	579
BCE1	84
BCKDK	412
BCL10	233
BCL2	239
BCL3	454
BCL6B	479
BCL6	706
BCL7A	210
BCL7B	202
BCL7C	217
NBEAP1	100
BCL9L	1499
BCL9	1426
BCLAF1	920
BCORP1	145
BCORL1	1711
BCOR	1755
BCR	1271
BCS1L	419
BOD1L1	3051
BOD1L2	172
BDH2	245
BDH1	343
BDNF	247
BDP1	2624
BEAN1	259
BECN1	450
BECN1P1	431
BEGAIN	593
BEND2	799
BEND3	828
BEND4	534
BEND5	421
BEND6	279
BEND7	519
BEST1	585
BEST2	509
BEST3	668
BEST4	473
BET1L	111
BET1	118
C19orf80	198
BEX1	125
BEX2	128
NGFRAP1	111
BEX4	120
BEX5	111
BFAR	450
BFSP1	665
BFSP2	415
GLB1	677
ABO	354
TGFBI	683
GUSB	651
GUSBP11	273
BHLHA9	235
BHLHA15	189
BHLHE22	381
BHLHE23	225
BHLHE40	412
BHLHE41	482
BHLHB9	547
BHMG1	638
BHMT	406
BHMT2	363
TMBIM6	237
BAIAP2L1	511
BAIAP2L2	529
BICC1	974
BICD1	975
BICD2	824
CCDC64	573
CCDC64B	508
BID	195
BLVRA	296
ARFGEF1	1849
ARFGEF2	1785
ARFGEF3	2177
BIK	160
BIN1	593
BIN2	565
BIN3	253
C9orf89	228
NAIP	1403
BIRC2	618
BIRC3	604
BIRC5	142
BIRC6	4857
BIRC7	298
BIRC8	236
BIVM	503
BDKRB1	353
BDKRB2	391
BLOC1S1	153
BLOC1S2	142
BLOC1S3	202
BLOC1S4	217
BLOC1S5	187
BLOC1S6	172
BLACE	179
BLCAP	87
BLID	108
BLK	505
BLMH	455
